Product Component ID,Product ID,Quantity,Measurement,Component ID,Section,Group,Side
1218,F210,1,Each,2,Side,Frame,
1219,F210,1,Each,3,Side,Frame,
1220,F210,2,Each,5,Center,Internal,
1224,F210,1,Each,114,Top,Design,
1225,F210,1,Each,121,Bottom,Design,
1227,F210,1,Each,9,Top,Final,
1228,F210,1,Each,9,Bottom,Final,
1229,F210,1,Each,10,Center,Final,
1230,F210,1,Each,27,Top,Final,
1231,Y206,1,Each,1,Top,Frame,
1232,Y206,1,Each,1,Bottom,Frame,
1233,Y206,1,Each,2,Side,Frame,
1234,Y206,1,Each,3,Side,Frame,
1235,Y206,2,Each,5,Center,Internal,
1236,Y206,1,Each,115,Top,Design,
1237,Y206,1,Each,116,Bottom,Design,
1238,Y206,1,Each,9,Top,Final,
1239,Y206,1,Each,9,Bottom,Final,
1240,Y206,1,Each,10,Center,Final,
1241,Y206,1,Each,27,Top,Final,
1242,F211,1,Each,1,Top,Frame,
1243,F211,1,Each,1,Bottom,Frame,
1244,F211,1,Each,2,Side,Frame,
1245,F211,1,Each,3,Side,Frame,
1246,F211,2,Each,5,Center,Internal,
1256,F211,1,Each,9,Top,Final,
1257,F211,1,Each,9,Bottom,Final,
1258,F211,1,Each,10,Center,Final,
1259,F211,1,Each,27,Top,Final,
1261,F203,1,Each,1,Top,Frame,
1262,F203,1,Each,1,Bottom,Frame,
1263,F203,1,Each,2,Side,Frame,
1264,F203,1,Each,3,Side,Frame,
1270,F203,1,Each,9,Top,Final,
1271,F203,1,Each,9,Bottom,Final,
1272,F203,1,Each,10,Center,Final,
1273,F203,1,Each,27,Top,Final,
1276,F204,1,Each,1,Top,Frame,
1277,F204,1,Each,1,Bottom,Frame,
1278,F204,1,Each,2,Side,Frame,
1279,F204,1,Each,3,Side,Frame,
1280,F204,2,Each,5,Center,Internal,
1281,F204,2,Each,7,Top,Internal,
1282,F204,1,Each,6,Top,Internal,
1283,F204,2,Each,7,Bottom,Internal,
1284,F204,1,Each,6,Bottom,Internal,
1285,F204,1,Each,118,Top,Design,
1287,F204,1,Each,9,Top,Final,
1288,F204,1,Each,9,Bottom,Final,
1289,F204,1,Each,10,Center,Final,
1290,F204,1,Each,27,Top,Final,
1291,F202,1,Each,1,Top,Frame,
1292,F202,1,Each,1,Bottom,Frame,
1293,F202,1,Each,2,Side,Frame,
1294,F202,1,Each,3,Side,Frame,
1295,F202,2,Each,5,Center,Internal,
1296,F202,1,Each,6,Top,Internal,
1297,F202,2,Each,7,Top,Internal,
1298,F202,2,Each,6,Bottom,Internal,
1299,F202,2,Each,7,Bottom,Internal,
1301,F202,1,Each,117,Top,Design,
1302,F202,1,Each,9,Top,Final,
1303,F202,1,Each,9,Bottom,Final,
1304,F202,1,Each,10,Center,Final,
1305,F202,1,Each,27,Top,Final,
1306,F156,1,Each,1,Top,Frame,
1307,F156,1,Each,1,Bottom,Frame,
1308,F156,1,Each,2,Side,Frame,
1309,F156,1,Each,3,Side,Frame,
1310,F156,2,Each,5,Center,Internal,
1311,F156,5,Each,7,Top,Internal,
1312,F156,5,Each,7,Bottom,Internal,
1313,F156,1,Each,93,Top,Design,
1314,F156,1,Each,93,Bottom,Design,
1315,F156,1,Each,36,Center,Design,
1316,F156,1,Each,9,Top,Final,
1317,F156,1,Each,9,Bottom,Final,
1318,F156,1,Each,10,Center,Final,
1319,F156,1,Each,27,Top,Final,
1320,F157,1,Each,1,Top,Frame,
1321,F157,1,Each,1,Bottom,Frame,
1322,F157,1,Each,2,Side,Frame,
1323,F157,1,Each,3,Side,Frame,
1324,F157,2,Each,5,Center,Internal,
1326,F157,5,Each,7,Bottom,Internal,
1327,F157,1,Each,30,Top,Design,
1328,F157,2,Each,31,Top,Design,
